date,IC
2022-01-04,-0.12274652384917033
2022-01-05,-0.0812490635963894
2022-01-06,-0.007670090798666397
2022-01-07,-0.02288100616978102
2022-01-10,-0.011368891555616427
2022-01-11,-0.06984546161677782
2022-01-12,0.05152021808207172
2022-01-13,0.028972658904010948
2022-01-14,0.017687361728894825
2022-01-17,-0.02426785822099387
2022-01-18,-0.03794292366002443
2022-01-19,-0.005537197204194772
2022-01-20,-0.11031436922172802
2022-01-21,-0.027248380962339957
2022-01-24,0.013469426176568666
2022-01-25,-0.057349552594241786
2022-01-26,-0.010564126402706072
2022-01-27,-0.08494599597125536
2022-01-28,-0.07609217261830849
2022-02-07,-0.003938340693259168
2022-02-08,-0.008199295666258523
2022-02-09,0.005322981001832454
2022-02-10,-0.041967458497816
2022-02-11,-0.06655483816195987
2022-02-14,-0.028358781830253355
2022-02-15,-0.09880948908563461
2022-02-16,-0.029394981866439292
2022-02-17,-0.09193112052447772
2022-02-18,0.043989718866057154
2022-02-21,-0.006961098943698113
2022-02-22,-0.05709305930258522
2022-02-23,-0.0011711748882240614
2022-02-24,-0.07466650009795764
2022-02-25,0.05070889562034667
2022-02-28,-0.09636745999410722
2022-03-01,-0.0649963288894528
2022-03-02,0.07743348597072305
2022-03-03,0.00048633071404751706
2022-03-04,0.03653954696948528
2022-03-07,0.018850917848355683
2022-03-08,0.09247999610779627
2022-03-09,-0.015104268420467382
2022-03-10,-0.021972119609198364
2022-03-11,0.05048730886785637
2022-03-14,0.11254369211160763
2022-03-15,0.10265068067272691
2022-03-16,-0.10715678998904136
2022-03-17,-0.04850803036048411
2022-03-18,-0.03778179869256359
2022-03-21,-0.04605772972533848
2022-03-22,-0.09523429123969572
2022-03-23,-0.043762411829701184
2022-03-24,-0.03426518607196689
2022-03-25,-0.04210124885959887
2022-03-28,-0.04664082564179014
2022-03-29,-0.10636141402731307
2022-03-30,-0.008634182660083778
2022-03-31,-0.050626344237111216
2022-04-01,-0.053489303206830194
2022-04-06,-0.03325107052086175
2022-04-07,0.02801284370602956
2022-04-08,0.06459417522544503
2022-04-11,-0.053901610725474385
2022-04-12,-0.003510531568972981
2022-04-13,0.013176765336764039
2022-04-14,0.013270063499417978
2022-04-15,-0.03884252147982783
2022-04-18,-0.06222732113134454
2022-04-19,-0.027511223894974544
2022-04-20,0.02418799355237154
2022-04-21,0.01200365227725372
2022-04-22,0.049014073475389185
2022-04-25,0.030483651425414083
2022-04-26,0.00017335243073705967
2022-04-27,0.010573311732688129
2022-04-28,-0.07282673673492716
2022-04-29,0.014726697673462645
2022-05-05,0.08472227729206391
2022-05-06,-0.05055861464088914
2022-05-09,-0.019942536415125705
2022-05-10,-0.04042900705078056
2022-05-11,-0.0528317295268365
2022-05-12,-0.059420143890355895
2022-05-13,-0.016593669215695668
2022-05-16,-0.03722196988429113
2022-05-17,-0.06916335362752381
2022-05-18,-0.003447879088510213
2022-05-19,-0.089170703779368
2022-05-20,-0.001961468321197558
2022-05-23,-0.04448399100782907
2022-05-24,-0.04771156511120542
2022-05-25,-0.05516252880631698
2022-05-26,-0.04687278315293929
2022-05-27,0.04423585688108456
2022-05-30,0.0023231062758539587
2022-05-31,-0.05512741275680023
2022-06-01,0.0064037645673422966
2022-06-02,-0.003640382779770574
2022-06-06,-0.040799892696762145
2022-06-07,-0.023793481247971413
2022-06-08,-0.017071922476068722
2022-06-09,-0.04095059279905901
2022-06-10,-0.00892531709428498
2022-06-13,0.020158884799948266
2022-06-14,-0.10058150761158452
2022-06-15,-0.03137644741943508
2022-06-16,0.0206079183465293
2022-06-17,-0.0011417872481288567
2022-06-20,-0.04078848101847123
2022-06-21,-0.06662658002467105
2022-06-22,0.0036990527737927018
2022-06-23,-0.060130513785063504
2022-06-24,-0.03215776220580167
2022-06-27,-0.04321612612062369
2022-06-28,-0.10147567893003624
2022-06-29,-0.008183726797172327
2022-06-30,-0.051364708322881446
2022-07-01,-0.014205865694361925
2022-07-04,-0.01960890528903351
2022-07-05,-0.024689673920496646
2022-07-06,-0.03405447206483484
2022-07-07,-0.0845701409103324
2022-07-08,0.002944891081715166
2022-07-11,0.007252000811294891
2022-07-12,-0.013255625485437983
2022-07-13,-0.022906872671824487
2022-07-14,0.03499345544935558
2022-07-15,-0.05906740168489893
2022-07-18,-0.02309342010164162
2022-07-19,-0.06975750291377578
2022-07-20,-0.01755081148367105
2022-07-21,-0.020310779379210532
2022-07-22,-0.021798739535267474
2022-07-25,-0.042965190907139995
2022-07-26,-0.06351743406463678
2022-07-27,0.005945058148721048
2022-07-28,-0.0056932012297313565
2022-07-29,-0.021586374343153445
2022-08-01,0.0758252827332516
2022-08-02,-0.028114536029183807
2022-08-03,-0.0025827183124731592
2022-08-04,0.023300897974222242
2022-08-05,-0.07720884926067334
2022-08-08,-0.0064894257650620615
2022-08-09,-0.022095983826671266
2022-08-10,-0.09146499263785274
2022-08-11,-0.039157959455602645
2022-08-12,-0.02564920131712178
