date,datetime,IC
2022-01-04,2022-01-04 06:45:00+00:00,-0.12274652384917033
2022-01-04,2022-01-04 07:00:00+00:00,
2022-01-05,2022-01-05 01:45:00+00:00,-0.08169186109394773
2022-01-05,2022-01-05 02:00:00+00:00,-0.06312841434155939
2022-01-05,2022-01-05 02:15:00+00:00,-0.06721145893444823
2022-01-05,2022-01-05 02:30:00+00:00,-0.10063979592122972
2022-01-05,2022-01-05 02:45:00+00:00,-0.11090715784629082
2022-01-05,2022-01-05 03:00:00+00:00,-0.10927463652627674
2022-01-05,2022-01-05 03:15:00+00:00,-0.09749188003901431
2022-01-05,2022-01-05 03:30:00+00:00,-0.08449916127658441
2022-01-05,2022-01-05 05:15:00+00:00,-0.06120951442792343
2022-01-05,2022-01-05 05:30:00+00:00,-0.07023168979647991
2022-01-05,2022-01-05 05:45:00+00:00,-0.07787112666438614
2022-01-05,2022-01-05 06:00:00+00:00,-0.08473233425396
2022-01-05,2022-01-05 06:15:00+00:00,-0.07232480317382697
2022-01-05,2022-01-05 06:30:00+00:00,-0.0715522571174101
2022-01-05,2022-01-05 06:45:00+00:00,-0.06596986253250331
2022-01-05,2022-01-05 07:00:00+00:00,
2022-01-06,2022-01-06 01:45:00+00:00,-0.037812752749247065
2022-01-06,2022-01-06 02:00:00+00:00,-0.01795119645697806
2022-01-06,2022-01-06 02:15:00+00:00,-0.004768489073302177
2022-01-06,2022-01-06 02:30:00+00:00,0.014700354353881109
2022-01-06,2022-01-06 02:45:00+00:00,0.02299514869039691
2022-01-06,2022-01-06 03:00:00+00:00,0.031112224259444064
2022-01-06,2022-01-06 03:15:00+00:00,0.029069530789490792
2022-01-06,2022-01-06 03:30:00+00:00,0.012424313771569398
2022-01-06,2022-01-06 05:15:00+00:00,0.0038784709702982473
2022-01-06,2022-01-06 05:30:00+00:00,-0.0025769284782654616
2022-01-06,2022-01-06 05:45:00+00:00,-0.007743788938448235
2022-01-06,2022-01-06 06:00:00+00:00,-0.024091796280869982
2022-01-06,2022-01-06 06:15:00+00:00,-0.03549399578193808
2022-01-06,2022-01-06 06:30:00+00:00,-0.04533344139818386
2022-01-06,2022-01-06 06:45:00+00:00,-0.053459015657843556
2022-01-06,2022-01-06 07:00:00+00:00,
2022-01-07,2022-01-07 01:45:00+00:00,-0.04166187151352962
2022-01-07,2022-01-07 02:00:00+00:00,-0.046035231337480005
2022-01-07,2022-01-07 02:15:00+00:00,-0.03677151713606063
2022-01-07,2022-01-07 02:30:00+00:00,-0.0405773203684671
2022-01-07,2022-01-07 02:45:00+00:00,-0.0411398783823103
2022-01-07,2022-01-07 03:00:00+00:00,-0.03904045510170934
2022-01-07,2022-01-07 03:15:00+00:00,-0.02794568340580261
2022-01-07,2022-01-07 03:30:00+00:00,-0.003912487864091794
2022-01-07,2022-01-07 05:15:00+00:00,0.0187558781327785
