Year,IC,IR,Turnover
2022,-2.695030649217876,-9.929249436913056,2.9122142450297512
2023,-2.195581406959653,-8.54266629139098,2.951579333388549
2024,-2.646003898528232,-8.79665367735253,2.9169137438874206
