Year,IC,IR,Turnover
2022,-1.5593586798294625,-12.953565372434094,17.932793682323048
2023,-1.4084762568285425,-12.325466928323696,18.2758203682167
2024,-1.1534751335791051,-8.066959773763053,17.926107462692897
