Year,IC,IR,Turnover
2022,-1.2280748248617757,-10.788764970059498,14.02880141504483
2023,-1.1314623578874967,-11.013476878935318,14.26961971226194
2024,-0.4717423303793999,-3.610847396485693,13.931592938005247
