date,Turnover
2022-01-04,10.058255729246671
2022-01-05,10.169983802717216
2022-01-06,9.666595416375637
2022-01-07,9.669894039589234
2022-01-10,9.358858554993134
2022-01-11,10.100228901892901
2022-01-12,9.886785594633663
2022-01-13,9.718484865062619
2022-01-14,9.678296193199598
2022-01-17,9.317556796454046
2022-01-18,9.755716202168907
2022-01-19,9.692288007735755
2022-01-20,10.04012466826287
2022-01-21,9.473994461748301
2022-01-24,9.31811497239023
2022-01-25,10.016396773854614
2022-01-26,9.914988046522684
2022-01-27,10.207841623133694
2022-01-28,9.999275159617127
2022-02-07,9.157085045887133
2022-02-08,10.026127959056932
2022-02-09,10.11265079446818
2022-02-10,10.407672758826187
2022-02-11,10.288907400446385
2022-02-14,9.77636488391477
2022-02-15,10.096329617257606
2022-02-16,10.19292487829987
2022-02-17,10.26829699150132
2022-02-18,9.802916479365892
2022-02-21,10.159525329404634
2022-02-22,10.356647794178777
2022-02-23,10.07272763994799
2022-02-24,8.923803930374794
2022-02-25,9.525138377365709
2022-02-28,9.870914257590234
2022-03-01,10.203497669727328
2022-03-02,10.008553474956233
2022-03-03,10.303551120251477
2022-03-04,9.866751971293636
2022-03-07,9.808937990774377
2022-03-08,10.205492179515982
2022-03-09,9.15517938897698
2022-03-10,9.291168407327083
2022-03-11,9.442406403000057
2022-03-14,9.241902355436387
2022-03-15,9.497918760653244
2022-03-16,10.20437083683081
2022-03-17,9.734539033483639
2022-03-18,9.35155672944948
2022-03-21,9.857727312126645
2022-03-22,9.790828716430655
2022-03-23,9.979422144828794
2022-03-24,10.142415265077048
2022-03-25,10.03149483788698
2022-03-28,9.572003408800342
2022-03-29,9.92712720717464
2022-03-30,9.940680349948378
2022-03-31,9.95388102827973
2022-04-01,9.64340779137288
2022-04-06,9.46561946561557
2022-04-07,10.093965575410058
2022-04-08,9.806094026031522
2022-04-11,9.83127843910428
2022-04-12,9.59158200099265
2022-04-13,9.366571330506648
2022-04-14,10.117349286268022
2022-04-15,9.621686484468176
2022-04-18,9.63600333103801
2022-04-19,9.720981317838127
2022-04-20,9.641214308126298
2022-04-21,10.236001787346
2022-04-22,9.375818163639122
2022-04-25,9.033008239449728
2022-04-26,8.663693599186018
2022-04-27,9.327736224566813
2022-04-28,9.226785004509129
2022-04-29,9.762339945911963
2022-05-05,9.393728827233627
2022-05-06,9.454415793933208
2022-05-09,9.699981345245204
2022-05-10,9.907097536288635
2022-05-11,10.264335424906562
2022-05-12,9.724085681063752
2022-05-13,9.942171160349332
2022-05-16,10.152398836005826
2022-05-17,10.061167840589565
2022-05-18,9.904396819061793
2022-05-19,9.667603785818363
2022-05-20,9.903267615834062
2022-05-23,9.659969305146353
2022-05-24,10.38455901153624
2022-05-25,9.37706773246139
2022-05-26,9.667153748086212
2022-05-27,9.858452416677887
2022-05-30,9.669609978635547
2022-05-31,9.328349530973327
2022-06-01,9.974739214882502
2022-06-02,9.373988546205359
2022-06-06,9.762495618512878
2022-06-07,9.778988012395393
2022-06-08,9.9033481404164
2022-06-09,9.720274017584101
2022-06-10,9.194120168202183
2022-06-13,9.38358416461474
2022-06-14,9.673348025754496
2022-06-15,9.86315297195267
2022-06-16,9.95196613275747
2022-06-17,10.19117753762301
2022-06-20,9.653246940650941
2022-06-21,9.857527812075586
2022-06-22,9.738408057642939
2022-06-23,9.520911775763695
2022-06-24,9.922629575573012
2022-06-27,9.920603627125736
2022-06-28,9.310638340931298
2022-06-29,10.03692981401741
2022-06-30,9.74351115440412
2022-07-01,9.510763159233468
2022-07-04,9.458356224901962
2022-07-05,9.900539563109762
2022-07-06,9.520749857440103
2022-07-07,9.42611088235566
2022-07-08,9.78977228028267
2022-07-11,9.871125225890053
2022-07-12,9.79799428801689
2022-07-13,9.726252554907518
2022-07-14,9.631516077545383
2022-07-15,8.995756243896187
2022-07-18,9.282511936512359
2022-07-19,9.484760311076032
2022-07-20,9.768062394814832
2022-07-21,9.757116655771199
2022-07-22,10.167649566187587
2022-07-25,9.846312952186492
2022-07-26,9.732623149133893
2022-07-27,9.992397365942045
2022-07-28,9.970472565718094
2022-07-29,9.918945614948782
2022-08-01,9.641138899172478
2022-08-02,9.366084104065491
2022-08-03,9.188677832542623
2022-08-04,9.763302809385056
2022-08-05,9.416161409146175
2022-08-08,9.517114495406318
2022-08-09,10.00084002056074
2022-08-10,9.878698406814928
2022-08-11,9.933351192003629
2022-08-12,9.678636002853981
2022-08-15,9.456700610901553
2022-08-16,10.002396374009063
2022-08-17,10.04828073991001
2022-08-18,9.797584400678156
2022-08-19,9.901572913255919
2022-08-22,9.34956742686112
2022-08-23,9.866608524779268
2022-08-24,9.909772804675747
2022-08-25,10.081370520566074
2022-08-26,9.390265216904204
2022-08-29,9.19394502799505
2022-08-30,9.609578648331256
2022-08-31,10.108095823434802
2022-09-01,9.857102096190657
2022-09-02,9.775281029900416
2022-09-05,9.925571835982092
2022-09-06,9.956032946540901
2022-09-07,10.283378092511525
2022-09-08,10.137851796441998
2022-09-09,9.6465986234722
2022-09-13,9.942816105868655
2022-09-14,9.725156775280077
2022-09-15,9.988456792627682
2022-09-16,9.23973687614112
2022-09-19,9.614907778083374
2022-09-20,9.535552619113991
2022-09-21,9.399895863375448
2022-09-22,9.97695831041075
2022-09-23,10.163765637436043
2022-09-26,9.129056594314088
2022-09-27,9.224878750477165
2022-09-28,10.218876215730562
2022-09-29,10.18177162261811
2022-09-30,9.892653627310956
2022-10-10,9.91900048155998
2022-10-11,10.196327942482542
2022-10-12,9.769326142402164
2022-10-13,10.218574389130534
2022-10-14,10.366785094397462
2022-10-17,9.905897192219374
2022-10-18,10.319363012326322
2022-10-19,10.198656101460225
2022-10-20,9.95652602573054
2022-10-21,9.855004283502746
2022-10-24,9.465065772437207
2022-10-25,9.790786480104984
2022-10-26,9.851860027617056
2022-10-27,9.75697896491433
2022-10-28,9.407996081038895
2022-10-31,9.121290736437746
2022-11-01,9.651411156350619
2022-11-02,10.21180522169533
2022-11-03,9.443893119156112
2022-11-04,10.007069438532955
2022-11-07,9.862079828676588
2022-11-08,9.782875329971297
2022-11-09,9.27070468679668
2022-11-10,10.286088990254747
2022-11-11,9.723254583597281
2022-11-14,9.86117004350621
2022-11-15,10.032015304221854
2022-11-16,9.708427833143446
2022-11-17,9.875230055004595
2022-11-18,9.865806051426109
2022-11-21,9.707640655407536
2022-11-22,9.738253316335022
2022-11-23,10.026639214583568
2022-11-24,9.823599471639755
2022-11-25,10.021950217021896
2022-11-28,9.560502066728645
2022-11-29,10.23404312103935
2022-11-30,9.701339326675859
2022-12-01,10.041697985659178
2022-12-02,9.801859069296821
2022-12-05,9.617775147859179
2022-12-06,9.669585022910974
2022-12-07,9.815047475331395
2022-12-08,9.737854943827331
2022-12-09,9.391929355443603
2022-12-12,9.610279139610041
2022-12-13,9.702719476794341
2022-12-14,9.854415279004064
2022-12-15,9.941291506107362
2022-12-16,9.857159603138209
2022-12-19,9.92742437227343
2022-12-20,9.691217795024839
2022-12-21,9.834694749773439
2022-12-22,9.411094784527206
2022-12-23,9.737401513805418
2022-12-26,10.22826494897822
2022-12-27,10.062335615706395
2022-12-28,10.111530682001911
2022-12-29,10.078189542095481
2022-12-30,9.974254436672313
2023-01-03,9.723262210227796
2023-01-04,10.012847852291005
2023-01-05,10.077315360190854
2023-01-06,10.289231060689898
2023-01-09,9.991959701521187
2023-01-10,10.137974338000383
2023-01-11,10.153758005384923
2023-01-12,10.407467487371768
2023-01-13,10.179876541816101
2023-01-16,9.928080576794066
2023-01-17,10.01937004184849
2023-01-18,9.717022158956738
2023-01-19,10.008963095211147
2023-01-20,9.93354038460158
2023-01-30,10.162377713414514
2023-01-31,9.635238544830727
2023-02-01,9.850852374343402
2023-02-02,9.924830641566434
2023-02-03,10.118866855505205
2023-02-06,9.868985740997054
2023-02-07,10.152224810095847
2023-02-08,9.996223619943219
2023-02-09,9.554626030086245
2023-02-10,10.018086344470422
2023-02-13,9.713784606735954
2023-02-14,9.934245498602683
2023-02-15,10.082375675744172
2023-02-16,9.52201991580397
2023-02-17,9.804166368569787
2023-02-20,9.564970753044339
2023-02-21,10.190482315737622
2023-02-22,9.81027782582235
2023-02-23,10.210942746271304
2023-02-24,10.020745751988034
2023-02-27,10.125539014200081
2023-02-28,9.920626583841818
2023-03-01,9.963698457457147
2023-03-02,10.012449842300134
2023-03-03,9.89652160137783
2023-03-06,9.727473039948935
2023-03-07,9.738205079391614
2023-03-08,9.60701161098461
2023-03-09,10.002968815853691
2023-03-10,9.845904447732266
2023-03-13,9.805333175265204
2023-03-14,10.119722688918717
