date,datetime,IC
2022-01-04,2022-01-04 02:00:00+00:00,0.015366370012021274
2022-01-04,2022-01-04 02:15:00+00:00,-0.013609998337034575
2022-01-04,2022-01-04 02:30:00+00:00,-0.0062006122223038545
2022-01-04,2022-01-04 02:45:00+00:00,0.008024962359469102
2022-01-04,2022-01-04 03:00:00+00:00,0.01877633693156667
2022-01-04,2022-01-04 03:15:00+00:00,0.02580213324802182
2022-01-04,2022-01-04 03:30:00+00:00,0.018676412728513437
2022-01-04,2022-01-04 05:15:00+00:00,0.030793008246891115
2022-01-04,2022-01-04 05:30:00+00:00,0.0387544115968995
2022-01-04,2022-01-04 05:45:00+00:00,0.04250410969045706
2022-01-04,2022-01-04 06:00:00+00:00,0.028041141775087514
2022-01-04,2022-01-04 06:15:00+00:00,0.00992136129212994
2022-01-04,2022-01-04 06:30:00+00:00,0.016696614488553984
2022-01-04,2022-01-04 06:45:00+00:00,-0.03620823928942836
2022-01-04,2022-01-04 07:00:00+00:00,
2022-01-05,2022-01-05 01:45:00+00:00,-0.0067258838047214425
2022-01-05,2022-01-05 02:00:00+00:00,0.01106846983594729
2022-01-05,2022-01-05 02:15:00+00:00,0.04930977615713327
2022-01-05,2022-01-05 02:30:00+00:00,0.0335945945760017
2022-01-05,2022-01-05 02:45:00+00:00,0.021682370674128978
2022-01-05,2022-01-05 03:00:00+00:00,-0.0014610851067497323
2022-01-05,2022-01-05 03:15:00+00:00,-0.006502129789718998
2022-01-05,2022-01-05 03:30:00+00:00,-0.001172365612016242
2022-01-05,2022-01-05 05:15:00+00:00,0.006127426990512561
2022-01-05,2022-01-05 05:30:00+00:00,0.024724036132583387
2022-01-05,2022-01-05 05:45:00+00:00,0.014101393451611726
2022-01-05,2022-01-05 06:00:00+00:00,-0.007711178868665739
2022-01-05,2022-01-05 06:15:00+00:00,-0.014957842725039252
2022-01-05,2022-01-05 06:30:00+00:00,-0.027496111620552894
2022-01-05,2022-01-05 06:45:00+00:00,-0.025585125084401073
2022-01-05,2022-01-05 07:00:00+00:00,
2022-01-06,2022-01-06 01:45:00+00:00,-0.011607325268043782
2022-01-06,2022-01-06 02:00:00+00:00,0.007406929035296943
2022-01-06,2022-01-06 02:15:00+00:00,0.024069245401142227
2022-01-06,2022-01-06 02:30:00+00:00,0.014901025071509689
2022-01-06,2022-01-06 02:45:00+00:00,-0.0006101880413153335
2022-01-06,2022-01-06 03:00:00+00:00,0.006606862056279471
2022-01-06,2022-01-06 03:15:00+00:00,-0.012268512551835318
2022-01-06,2022-01-06 03:30:00+00:00,-0.021221966379334017
2022-01-06,2022-01-06 05:15:00+00:00,-0.02028839287813639
