Year,IC,IR,Turnover
2022,-2.5262044862235467,-9.235038345843517,2.6893675640028945
2023,-2.04423192149287,-7.95641641713494,2.7111689163256893
2024,-2.3464453859357843,-7.729198235032652,2.621662000952655
