Year,IC,IR,Turnover
2022,-1.9772450979999574,-15.598808483247888,18.486407278230796
2023,-1.8089982367676578,-15.10972269843529,18.541056022357594
2024,-1.4661598934109832,-8.966951300508043,18.506406055477445
