factor_name,display_name,family,family_label,params,direction,expression,description,PassGates,Score,IC,IR,Turnover,maxx,minn,max_mean,min_mean,positive_ic_ratio,submission_path,submission_dir,metadata_path,timestamp,sanity_report
manual_alpha_005,manual_alpha_005_ema_spread,ema_spread,Short-Long EMA Spread,"{'short': 8, 'long': 32}",-1,"rank(-1 * (ema(close,8)/ema(close,32) - 1))",Fade the short/long EMA spread using 8 vs 32 bars.,True,4.993842966189443,0.0211577183130086,5.809488045940821,0.8777076005935669,4.356349945068359,0.0,3.990483522415161,0.0,0.6446280991735537,/Volumes/T7/Scientech/manual/submit/manual_alpha_005_20260410_170000_p1_y/manual_alpha_005_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_005_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_005_20260410_170000_p1_y/manual_alpha_005_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_008,manual_alpha_008_ema_spread,ema_spread,Short-Long EMA Spread,"{'short': 4, 'long': 16}",-1,"rank(-1 * (ema(close,4)/ema(close,16) - 1))",Fade the short/long EMA spread using 4 vs 16 bars.,True,4.408511656585926,0.019054658098292,5.891727612432481,1.784731388092041,4.355400562286377,0.0,3.990214109420776,0.0,0.6735537190082644,/Volumes/T7/Scientech/manual/submit/manual_alpha_008_20260410_170000_p1_y/manual_alpha_008_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_008_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_008_20260410_170000_p1_y/manual_alpha_008_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_015,manual_alpha_015_close_zscore,close_zscore,Close Z-Score Stretch,{'window': 24},-1,"rank(-1 * zscore(close_trade_px, 24))",Fade rolling 24-bar close z-score stretch; captures short-horizon intraday price extension.,True,2.7784200861805672,0.013680693782033,5.469291623504798,3.6005160808563232,4.356349468231201,0.0,4.051764011383057,0.0,0.6460055096418733,/Volumes/T7/Scientech/manual/submit/manual_alpha_015_20260410_170000_p1_y/manual_alpha_015_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_015_20260410_170000_p1_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_015_20260410_170000_p1_y/manual_alpha_015_metadata.json,20260410_170000_p1,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_024,manual_alpha_024_close_zscore,close_zscore,Close Z-Score Stretch,{'window': 15},-1,"rank(-1 * zscore(close_trade_px, 15))",Fade rolling 15-bar close z-score stretch; captures short-horizon intraday price extension.,True,1.822536059200064,0.0104401589257983,5.05075155985646,4.661166667938232,4.356349468231201,0.0,4.05239200592041,0.0,0.6225895316804407,/Volumes/T7/Scientech/manual/submit/manual_alpha_024_20260410_170000_p2_y/manual_alpha_024_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_024_20260410_170000_p2_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_024_20260410_170000_p2_y/manual_alpha_024_metadata.json,20260410_170000_p2,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
manual_alpha_026,manual_alpha_026_multi_horizon_mix,multi_horizon_mix,1/4/16-Bar Return Mix,{},-1,rank(-1 * (ret1 + 0.5*ret4 + 0.25*ret16)),Fade a blended 1/4/16-bar return stack.,True,0.754969522570127,0.0078022765317368,3.12479130731778,7.06276273727417,4.356349468231201,0.0,4.052395343780518,0.0,0.5964187327823691,/Volumes/T7/Scientech/manual/submit/manual_alpha_026_20260410_170000_p2_y/manual_alpha_026_submission.pq,/Volumes/T7/Scientech/manual/submit/manual_alpha_026_20260410_170000_p2_y,/Volumes/T7/Scientech/manual/submit/manual_alpha_026_20260410_170000_p2_y/manual_alpha_026_metadata.json,20260410_170000_p2,"{'status': 'PASS', 'submission_ready': True, 'cover_all': 1, 'missing_days_count': 0, 'missing_days_sample': [], 'max': 1.0, 'min': 0.0, 'row_count': 57554880, 'unique_days': 726, 'duplicate_keys': 0, 'alpha_in_bounds': True, 'alpha_is_constant': False, 'allowed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'observed_utc_times': ['01:45:00', '02:00:00', '02:15:00', '02:30:00', '02:45:00', '03:00:00', '03:15:00', '03:30:00', '05:15:00', '05:30:00', '05:45:00', '06:00:00', '06:15:00', '06:30:00', '06:45:00', '07:00:00'], 'invalid_utc_times': [], 'exact_15m_grid': True, 'bars_per_day_min': 16, 'bars_per_day_max': 16, 'bars_per_day_expected': 16, 'full_intraday_grid': True}"
