date,Turnover
2022-01-04,13.380553229764413
2022-01-05,15.42902495512408
2022-01-06,15.38128575606169
2022-01-07,14.92987362081841
2022-01-10,15.632721705880387
2022-01-11,15.305017370918355
2022-01-12,15.660198476569978
2022-01-13,14.868408537706596
2022-01-14,15.450162936564755
2022-01-17,15.800916113220806
2022-01-18,14.850589051409836
2022-01-19,15.499649622997564
2022-01-20,15.077897659849901
2022-01-21,15.291863728592926
2022-01-24,15.559789087766978
2022-01-25,15.364115201568026
2022-01-26,15.48483955700591
2022-01-27,14.929355773827377
2022-01-28,14.596862550245596
2022-02-07,15.117297919030442
2022-02-08,14.859226260658705
2022-02-09,15.218376859322314
2022-02-10,15.287284446407655
2022-02-11,14.973889094068296
2022-02-14,15.169954634332111
2022-02-15,15.274363659740462
2022-02-16,15.572687080166984
2022-02-17,15.225379267860097
2022-02-18,15.298122503565235
2022-02-21,15.140724304862342
2022-02-22,15.370636994148226
2022-02-23,15.3511592865613
2022-02-24,15.575102116501036
2022-02-25,15.563729084704885
2022-02-28,15.455767617384252
2022-03-01,15.254892836183906
2022-03-02,15.293070961965434
2022-03-03,15.282697846677184
2022-03-04,15.265837006445429
2022-03-07,15.282548460354048
2022-03-08,14.740460677643457
2022-03-09,14.2732929628007
2022-03-10,15.363430416225064
2022-03-11,15.05385547006161
2022-03-14,15.496808966279774
2022-03-15,14.79427100998365
2022-03-16,15.2702988332936
2022-03-17,15.488458399065477
2022-03-18,14.957533575584797
2022-03-21,15.402603307526737
2022-03-22,15.224037737120502
2022-03-23,15.483262521952977
2022-03-24,15.404255109816315
2022-03-25,14.878474588765066
2022-03-28,15.161069852509945
2022-03-29,15.202923722747693
2022-03-30,15.422845432249154
2022-03-31,14.949677740168514
2022-04-01,15.282017546834998
2022-04-06,15.064348522581291
2022-04-07,15.123954344230452
2022-04-08,15.252517163920418
2022-04-11,15.426420530196623
2022-04-12,14.788409169700836
2022-04-13,15.26306095351718
2022-04-14,15.32431537038936
2022-04-15,14.825195753271663
2022-04-18,15.0899289125033
2022-04-19,14.841577010567653
2022-04-20,14.984650559352405
2022-04-21,15.13085975607309
2022-04-22,15.14735544097492
2022-04-25,14.617582994492588
2022-04-26,14.040709968296069
2022-04-27,14.400610183201275
2022-04-28,14.778783567301204
2022-04-29,15.218624638030674
2022-05-05,14.933907876103282
2022-05-06,15.009310636315426
2022-05-09,15.192803239067288
2022-05-10,15.197778266226416
2022-05-11,14.440968907796861
2022-05-12,15.476715522859537
2022-05-13,15.283876789386953
2022-05-16,15.41297318889029
2022-05-17,15.308209491737015
2022-05-18,15.184761866747294
2022-05-19,15.135343669043051
2022-05-20,15.119593859433692
2022-05-23,15.174259799631745
2022-05-24,15.023367158004582
2022-05-25,15.299555511459761
2022-05-26,15.285267863876134
2022-05-27,15.318168238061087
2022-05-30,15.355085524237614
2022-05-31,15.155838019189508
2022-06-01,15.404560186409356
2022-06-02,15.056530139622236
2022-06-06,15.586633168055414
2022-06-07,15.128274303236664
2022-06-08,15.121736370990286
2022-06-09,15.284991468284561
2022-06-10,14.986367268918315
2022-06-13,15.276688258586994
2022-06-14,14.789740520254732
2022-06-15,15.033272353759537
2022-06-16,15.229630084545699
2022-06-17,15.057981514619463
2022-06-20,15.322302723672014
2022-06-21,15.305198549282874
2022-06-22,15.14436002994374
2022-06-23,14.989491091011004
2022-06-24,15.076898314759838
2022-06-27,15.19604567332121
2022-06-28,15.062577907344135
2022-06-29,14.829713050730792
2022-06-30,15.348643543427013
2022-07-01,15.19270028838189
2022-07-04,15.008418656811127
2022-07-05,14.992589238200056
2022-07-06,14.90238576331888
2022-07-07,15.213692432871126
2022-07-08,14.732408532513181
2022-07-11,15.09222499388696
2022-07-12,14.816516064527722
2022-07-13,15.003196983851268
2022-07-14,14.865388843123263
2022-07-15,15.068096594033166
2022-07-18,14.868819372553647
2022-07-19,15.162836999801215
