date,datetime,IC
2022-01-04,2022-01-04 01:45:00+00:00,-0.06495557132612574
2022-01-04,2022-01-04 02:00:00+00:00,-0.034601378465237066
2022-01-04,2022-01-04 02:15:00+00:00,0.009937342229339194
2022-01-04,2022-01-04 02:30:00+00:00,0.0023139762898866283
2022-01-04,2022-01-04 02:45:00+00:00,-0.0254373202889786
2022-01-04,2022-01-04 03:00:00+00:00,-0.015955456146544145
2022-01-04,2022-01-04 03:15:00+00:00,-0.023605884153383112
2022-01-04,2022-01-04 03:30:00+00:00,0.00010840504268878495
2022-01-04,2022-01-04 05:15:00+00:00,0.003010808096127621
2022-01-04,2022-01-04 05:30:00+00:00,-0.006786778195917774
2022-01-04,2022-01-04 05:45:00+00:00,-0.022288732534169995
2022-01-04,2022-01-04 06:00:00+00:00,-0.0343812051876149
2022-01-04,2022-01-04 06:15:00+00:00,-0.029104369229486712
2022-01-04,2022-01-04 06:30:00+00:00,0.01082698079581234
2022-01-04,2022-01-04 06:45:00+00:00,-0.024220662968455643
2022-01-05,2022-01-05 01:45:00+00:00,0.04818944664137378
2022-01-05,2022-01-05 02:00:00+00:00,0.018533181316372327
2022-01-05,2022-01-05 02:15:00+00:00,0.04616508611987562
2022-01-05,2022-01-05 02:30:00+00:00,0.038790589843061
2022-01-05,2022-01-05 02:45:00+00:00,0.05231037199188175
2022-01-05,2022-01-05 03:00:00+00:00,0.025608126932635263
2022-01-05,2022-01-05 03:15:00+00:00,0.046632763056978534
2022-01-05,2022-01-05 03:30:00+00:00,0.024431766834594887
2022-01-05,2022-01-05 05:15:00+00:00,-0.0035631646796101175
2022-01-05,2022-01-05 05:30:00+00:00,-0.009336184732369477
2022-01-05,2022-01-05 05:45:00+00:00,0.00039638643185500616
2022-01-05,2022-01-05 06:00:00+00:00,-0.027582969603121357
2022-01-05,2022-01-05 06:15:00+00:00,-0.0015020050717701376
2022-01-05,2022-01-05 06:30:00+00:00,0.025248334254496435
2022-01-05,2022-01-05 06:45:00+00:00,0.022435961587508137
2022-01-05,2022-01-05 07:00:00+00:00,
2022-01-06,2022-01-06 01:45:00+00:00,0.010337013354289557
2022-01-06,2022-01-06 02:00:00+00:00,0.0007494088457928329
2022-01-06,2022-01-06 02:15:00+00:00,0.03139050339224537
2022-01-06,2022-01-06 02:30:00+00:00,0.08391256411379497
2022-01-06,2022-01-06 02:45:00+00:00,0.06186123489438624
2022-01-06,2022-01-06 03:00:00+00:00,0.04593891592632203
2022-01-06,2022-01-06 03:15:00+00:00,0.027907112912611404
2022-01-06,2022-01-06 03:30:00+00:00,0.05241734101920099
2022-01-06,2022-01-06 05:15:00+00:00,0.0408283182303549
2022-01-06,2022-01-06 05:30:00+00:00,0.03644734169295403
2022-01-06,2022-01-06 05:45:00+00:00,0.026043293292449227
2022-01-06,2022-01-06 06:00:00+00:00,0.030019979365117237
2022-01-06,2022-01-06 06:15:00+00:00,-0.02189321864356215
2022-01-06,2022-01-06 06:30:00+00:00,-0.031001605039620597
2022-01-06,2022-01-06 06:45:00+00:00,-0.02387154840924484
2022-01-06,2022-01-06 07:00:00+00:00,
2022-01-07,2022-01-07 01:45:00+00:00,-0.0004813877217323109
2022-01-07,2022-01-07 02:00:00+00:00,0.020894721972880767
2022-01-07,2022-01-07 02:15:00+00:00,0.017564620169295525
2022-01-07,2022-01-07 02:30:00+00:00,0.037407029525719074
2022-01-07,2022-01-07 02:45:00+00:00,0.04317466585021661
2022-01-07,2022-01-07 03:00:00+00:00,0.01969721887330972
2022-01-07,2022-01-07 03:15:00+00:00,0.031241211959745843
2022-01-07,2022-01-07 03:30:00+00:00,0.04021673513350495
2022-01-07,2022-01-07 05:15:00+00:00,0.02687423836418231
2022-01-07,2022-01-07 05:30:00+00:00,0.020277655704612898
2022-01-07,2022-01-07 05:45:00+00:00,0.013083169073641867
2022-01-07,2022-01-07 06:00:00+00:00,0.017889463981234383
2022-01-07,2022-01-07 06:15:00+00:00,0.01848240251751312
2022-01-07,2022-01-07 06:30:00+00:00,2.506767872699462e-05
2022-01-07,2022-01-07 06:45:00+00:00,0.029170941474634497
2022-01-07,2022-01-07 07:00:00+00:00,
2022-01-10,2022-01-10 01:45:00+00:00,0.05259965626538272
