date,IC
2022-01-04,-0.01700932306947061
2022-01-05,0.020450512728250776
2022-01-06,0.02473911032980608
2022-01-07,0.022367850303832416
2022-01-10,0.008713506079533683
2022-01-11,0.012192718134270909
2022-01-12,-0.0012092936077979614
2022-01-13,0.017207140500552824
2022-01-14,0.000954382801506079
2022-01-17,-0.031218810920729666
2022-01-18,0.0054970800256426994
2022-01-19,0.006701178586794971
2022-01-20,-0.014133632589347068
2022-01-21,0.014649338822636075
2022-01-24,-0.005988741173780565
2022-01-25,0.02616504289379468
2022-01-26,0.010782402825065367
2022-01-27,0.029526331443205548
2022-01-28,0.014952487475032007
2022-02-07,-0.006062229370383825
2022-02-08,-0.013141256966019537
2022-02-09,-0.005909955916577914
2022-02-10,-0.021029326868573468
2022-02-11,0.009081017645713362
2022-02-14,0.014548698590426618
2022-02-15,0.03176699471201486
2022-02-16,0.0209988790826433
2022-02-17,-0.004256905143616483
2022-02-18,0.021536126658621337
2022-02-21,-0.016066590818885326
2022-02-22,0.014836355983268275
2022-02-23,-0.01869808387008167
2022-02-24,0.039712192002431076
2022-02-25,-0.014617112868004468
2022-02-28,0.01335754379445097
2022-03-01,0.007655747458496852
2022-03-02,0.004252058204861149
2022-03-03,0.0038486746614856404
2022-03-04,0.008145947465742787
2022-03-07,-0.007106530736017916
2022-03-08,0.0012187533516764303
2022-03-09,0.04046298784216073
2022-03-10,-0.010711942946337373
2022-03-11,-0.018757195520623778
2022-03-14,-0.014577404151310546
2022-03-15,-0.012215765499021673
2022-03-16,0.05396231716376114
2022-03-17,-0.009010452534185115
2022-03-18,0.014755350161376163
2022-03-21,-0.0005302550891966041
2022-03-22,-0.012549828750206814
2022-03-23,0.00859148358503512
2022-03-24,0.01099959300954762
2022-03-25,-0.009393794683652274
2022-03-28,0.00499429810264307
2022-03-29,0.02095391064966508
2022-03-30,0.018351536766615554
2022-03-31,-0.0037578578820457844
2022-04-01,-0.010316964459986918
2022-04-06,-0.015890436121376274
2022-04-07,-0.012542658128221796
2022-04-08,-0.01943566129129485
2022-04-11,-0.007166595163736527
2022-04-12,-0.013721890752444378
2022-04-13,-0.004888469158133572
2022-04-14,-0.028457893962611242
2022-04-15,0.0077708934226504685
2022-04-18,0.013171782264760774
2022-04-19,0.02503299787691652
2022-04-20,-0.002794671041790608
2022-04-21,0.0033070660863130643
2022-04-22,-0.023029747227488788
2022-04-25,-0.013873391022770031
2022-04-26,-0.016846104095553406
2022-04-27,-0.00890134118094319
2022-04-28,0.04490487287619402
2022-04-29,0.014064718685451883
2022-05-05,-0.014019450619988428
2022-05-06,0.01860610067547989
2022-05-09,0.02867787456597587
2022-05-10,-3.907665901840268e-05
2022-05-11,0.0168382624833925
2022-05-12,0.0010539381877801605
2022-05-13,0.0023706444154287954
2022-05-16,-0.010578368523540854
2022-05-17,0.0268577912819187
2022-05-18,-0.0063846928422933765
2022-05-19,0.0016087144717803893
2022-05-20,0.02470736517473121
2022-05-23,-0.0037205324444917294
2022-05-24,-0.01066893063689977
2022-05-25,-0.01258285363494691
2022-05-26,-0.0032342265973810767
2022-05-27,0.029038113089008166
2022-05-30,0.002383304067331132
2022-05-31,0.023895596720308967
2022-06-01,0.023904192526058125
2022-06-02,0.0009796962446574002
2022-06-06,-0.006284526483341313
2022-06-07,0.01155194818174109
2022-06-08,-0.0011699004512005014
2022-06-09,0.008930852188825064
2022-06-10,-0.004932971954610162
2022-06-13,0.00425992756952226
2022-06-14,0.020282710734319625
2022-06-15,0.00211117791609164
2022-06-16,0.003577993755460653
2022-06-17,0.0015956441508808991
2022-06-20,0.013237440455250379
2022-06-21,0.012896759424006166
2022-06-22,0.019381206804399233
2022-06-23,0.0029077895084273124
2022-06-24,0.011118244632591822
2022-06-27,0.00010757383523147301
2022-06-28,-0.009636213587938853
2022-06-29,0.00322502870666129
2022-06-30,0.0261866935573531
2022-07-01,-0.005453411950986298
2022-07-04,0.006822185435900801
2022-07-05,0.02451541641243699
2022-07-06,-0.015782518748309486
2022-07-07,0.017110188307478968
2022-07-08,-0.0007487535202094292
2022-07-11,0.00817726470731178
2022-07-12,0.014681359789585402
2022-07-13,-0.006736647621862028
2022-07-14,-0.01272511134812299
2022-07-15,0.045477405490773413
2022-07-18,0.017421043850420877
2022-07-19,-0.0010406056593895993
2022-07-20,-0.0012390172476150216
2022-07-21,0.01400525951316658
2022-07-22,0.008599498199146908
2022-07-25,-0.003607971724986442
2022-07-26,0.009865655145596085
2022-07-27,0.0031246075851771816
2022-07-28,0.02060477916351446
2022-07-29,0.0035744207505101202
2022-08-01,-0.015682552411060122
2022-08-02,0.045634587405063036
2022-08-03,0.018917808088906828
2022-08-04,0.02476908483151279
2022-08-05,0.018668337650887275
2022-08-08,-0.0223982635554687
2022-08-09,0.023539947767094112
2022-08-10,0.004048747714644407
2022-08-11,-0.014123390092890339
2022-08-12,0.0018021636491136403
2022-08-15,0.009306093033979142
2022-08-16,-0.010564930498287571
2022-08-17,0.015135314676183375
2022-08-18,0.019480033705483932
2022-08-19,-0.026529568876638335
2022-08-22,0.03493539945017244
2022-08-23,-0.008388482783817961
2022-08-24,-0.0023119297969684833
2022-08-25,0.008152378434977566
2022-08-26,0.009685167461074898
2022-08-29,0.006913827388538801
2022-08-30,-0.020011086432059243
2022-08-31,0.006507352615627668
2022-09-01,0.04059937994415323
2022-09-02,-0.024664124025444847
2022-09-05,0.01347166447613895
2022-09-06,0.017709806384985153
2022-09-07,-0.00603759630788751
2022-09-08,-0.035055849037658855
2022-09-09,0.0003218464988035618
2022-09-13,0.015957999611541606
2022-09-14,-0.009362772798325104
2022-09-15,0.021778793508951615
2022-09-16,0.03024807811492577
2022-09-19,0.041993993809257495
2022-09-20,-0.013405205533915198
2022-09-21,0.002911897147788069
2022-09-22,-0.014170960631581029
2022-09-23,0.012563428572906944
2022-09-26,-0.004437620165832938
2022-09-27,-0.004209581878962903
2022-09-28,-0.004752698495805743
2022-09-29,0.004222878331132247
2022-09-30,-0.015845123354705285
2022-10-10,-0.0008788118578982498
2022-10-11,-0.003250050185700777
2022-10-12,0.002863448729114503
2022-10-13,0.0007240244423086294
2022-10-14,0.002401398725015295
2022-10-17,0.03211080046785877
2022-10-18,-0.004462985165259833
2022-10-19,-0.003466432689020158
2022-10-20,0.008035519656434993
2022-10-21,0.002991579461125728
2022-10-24,0.006622974648897025
2022-10-25,0.004354823789853223
2022-10-26,-0.04361270338179107
2022-10-27,-0.025060271214561492
2022-10-28,0.032366387332506824
2022-10-31,0.014247872893644485
2022-11-01,0.007760915988536187
2022-11-02,0.028391695043926368
2022-11-03,0.030512029759728346
2022-11-04,0.009328499407737289
2022-11-07,0.024897713662625703
2022-11-08,-0.004741345212396944
2022-11-09,-0.006538076198055152
2022-11-10,-0.00650643674005883
2022-11-11,0.017284594109758418
2022-11-14,0.015436604620456923
2022-11-15,0.00686276150795008
2022-11-16,0.01689231641470012
2022-11-17,0.013173607128963406
2022-11-18,-0.0009069529189570066
2022-11-21,0.027583577504273465
2022-11-22,0.0024729064506756318
2022-11-23,0.031506301277340755
2022-11-24,-0.001094279374637756
2022-11-25,0.0019505351441277546
2022-11-28,0.008364683530628003
2022-11-29,0.007871224140236254
2022-11-30,0.04178999642082888
2022-12-01,0.026140056868218426
2022-12-02,0.0006590048921098754
2022-12-05,0.0016838355275991313
2022-12-06,0.00898925958375471
2022-12-07,0.012364172444304577
2022-12-08,-0.0013471379616005095
2022-12-09,0.02036647919512247
2022-12-12,0.028671982187213778
2022-12-13,-0.008515493250708916
2022-12-14,0.022381860610639723
2022-12-15,0.01764140006779196
2022-12-16,0.025312947145037176
2022-12-19,0.008343951431453894
2022-12-20,0.01813723321610048
2022-12-21,-0.014934917667787454
2022-12-22,0.0064986215688718815
2022-12-23,0.08084650267330389
2022-12-26,-0.018984134487450195
2022-12-27,0.0037627829017814808
2022-12-28,0.013982152159641758
2022-12-29,0.0011859753240184938
2022-12-30,0.04170404603059278
2023-01-03,0.020586512444138415
2023-01-04,0.010354726334745434
2023-01-05,0.005422201287042159
2023-01-06,0.026420034446866372
2023-01-09,0.0045716972774713874
2023-01-10,0.016864802688164315
2023-01-11,0.00024940503947756186
2023-01-12,-0.006521577543629942
2023-01-13,0.015768826685952635
2023-01-16,0.01889042398757347
2023-01-17,0.009767613888647409
2023-01-18,0.003171227678552415
2023-01-19,-0.004456572770863992
2023-01-20,0.01908728330234468
2023-01-30,0.01654108645266684
2023-01-31,0.032893429016254354
2023-02-01,0.008234119770649622
2023-02-02,0.031038124152544724
2023-02-03,0.019268950023673806
2023-02-06,0.04496285127794183
2023-02-07,0.022038254507689013
2023-02-08,0.030010073485893032
2023-02-09,0.012754648258825227
2023-02-10,0.0063914311273780425
2023-02-13,-0.0023040120322715364
2023-02-14,0.016369078720142878
2023-02-15,-0.01494197902120433
2023-02-16,-0.003328990364542019
2023-02-17,0.017047499669466216
2023-02-20,0.02366349344688185
2023-02-21,0.022886102643808987
2023-02-22,0.02087521190741936
2023-02-23,0.013675048156893093
2023-02-24,-0.0029363183211478508
2023-02-27,0.0004091552170445448
2023-02-28,0.010656546270057975
2023-03-01,-0.024806195863628113
2023-03-02,0.021650653809086776
2023-03-03,0.0028859562748406657
2023-03-06,0.0018104254200225045
2023-03-07,0.01130819785900585
2023-03-08,0.017442756347087123
2023-03-09,-0.025448064314990897
2023-03-10,0.015792323307433537
2023-03-13,0.008744833186521299
2023-03-14,0.01668729459617024
2023-03-15,0.003992097435614659
2023-03-16,-0.015718266940431012
2023-03-17,-0.01463914212572713
2023-03-20,-0.004741420165453727
2023-03-21,-0.0029889755438761126
2023-03-22,-0.03915059195120909
2023-03-23,0.03466958250505951
2023-03-24,-0.010542564951868635
2023-03-27,-0.017843600000122098
2023-03-28,-0.009379783968514806
2023-03-29,0.014298874780624173
2023-03-30,0.005423718517071221
2023-03-31,-0.004136132491411936
2023-04-03,-0.021752306406860277
2023-04-04,0.009901787756790308
2023-04-06,0.028047069904564233
2023-04-07,0.019288016254630603
2023-04-10,0.00570574981338083
2023-04-11,0.009626092928626616
2023-04-12,0.03912253604399795
2023-04-13,0.015465116308390094
2023-04-14,0.008201418506680902
